Setup title,"C-V Sweep_light_-6-2_100k_500k_1M"
-0.09,7.93819E-10
-0.1,7.93767E-10
-0.11,7.93541E-10
-0.12,7.9337E-10
-0.13,7.92991E-10
-0.14,7.92821E-10
-0.15,7.92355E-10
-0.16,7.92092E-10
-0.17,7.91581E-10
-0.18,7.91108E-10
-0.19,7.90665E-10
-0.2,7.90201E-10
-0.21,7.89572E-10
-0.22,7.88992E-10
-0.23,7.88487E-10
-0.24,7.87788E-10
-0.25,7.87242E-10
-0.26,7.86434E-10
-0.27,7.85899E-10
-0.28,7.84976E-10
-0.29,7.84357E-10
-0.3,7.83429E-10
-0.31,7.82675E-10
-0.32,7.81875E-10
-0.33,7.81259E-10
-0.34,7.80193E-10
-0.35,7.7945E-10
-0.36,7.78528E-10
-0.37,7.77724E-10
-0.38,7.76803E-10
-0.39,7.76055E-10
-0.4,7.74826E-10
-0.41,7.74139E-10
-0.42,7.73027E-10
-0.43,7.72159E-10
-0.44,7.71099E-10
-0.45,7.7017E-10
-0.46,7.69014E-10
-0.47,7.68223E-10
-0.48,7.67133E-10
-0.49,7.66166E-10
-0.5,7.6512E-10
-0.51,7.64168E-10
-0.52,7.62987E-10
-0.53,7.62052E-10
-0.54,7.60966E-10
-0.55,7.59989E-10
-0.56,7.58861E-10
-0.57,7.57835E-10
-0.58,7.56713E-10
-0.59,7.55785E-10
-0.6,7.54494E-10
-0.61,7.53489E-10
-0.62,7.52424E-10
-0.63,7.51451E-10
-0.64,7.50217E-10
-0.65,7.48972E-10
-0.66,7.47841E-10
-0.67,7.46622E-10
-0.68,7.4566E-10
-0.69,7.44319E-10
-0.7,7.43278E-10
-0.71,7.42123E-10
-0.72,7.40918E-10
-0.73,7.39649E-10
-0.74,7.38448E-10
-0.75,7.37197E-10
-0.76,7.36055E-10
-0.77,7.34645E-10
-0.78,7.33518E-10
-0.79,7.32093E-10
-0.8,7.3099E-10
-0.81,7.29695E-10
-0.82,7.28497E-10
-0.83,7.27002E-10
-0.84,7.25889E-10
-0.85,7.24535E-10
-0.86,7.23126E-10
-0.87,7.21726E-10
-0.88,7.20512E-10
-0.89,7.19012E-10
-0.9,7.17802E-10
-0.91,7.16391E-10
-0.92,7.15148E-10
-0.93,7.13598E-10
-0.94,7.12392E-10
-0.95,7.10834E-10
-0.96,7.09442E-10
-0.97,7.08107E-10
-0.98,7.06547E-10
-0.99,7.05154E-10
-1,7.03709E-10
-1.01,7.02333E-10
-1.02,7.00849E-10
-1.03,6.9939E-10
-1.04,6.97972E-10
-1.05,6.96431E-10
-1.06,6.95069E-10
-1.07,6.93467E-10
-1.08,6.91837E-10
-1.09,6.90364E-10
-1.1,6.88797E-10
-1.11,6.87381E-10
-1.12,6.85934E-10
-1.13,6.84289E-10
-1.14,6.82927E-10
-1.15,6.81202E-10
-1.16,6.79932E-10
-1.17,6.78479E-10
-1.18,6.76936E-10
-1.19,6.75445E-10
-1.2,6.73878E-10
-1.21,6.72246E-10
-1.22,6.70997E-10
-1.23,6.69374E-10
-1.24,6.67903E-10
-1.25,6.66568E-10
-1.26,6.65064E-10
-1.27,6.63579E-10
-1.28,6.62246E-10
-1.29,6.60651E-10
-1.3,6.5911E-10
-1.31,6.57782E-10
-1.32,6.56444E-10
-1.33,6.54992E-10
-1.34,6.53569E-10
-1.35,6.52189E-10
-1.36,6.50769E-10
-1.37,6.49248E-10
-1.38,6.48092E-10
-1.39,6.46655E-10
-1.4,6.45536E-10
-1.41,6.44182E-10
-1.42,6.42809E-10
-1.43,6.41576E-10
-1.44,6.40174E-10
-1.45,6.39055E-10
-1.46,6.37804E-10
-1.47,6.36734E-10
-1.48,6.35536E-10
-1.49,6.34364E-10
-1.5,6.33126E-10
-1.51,6.32205E-10
-1.52,6.30945E-10
-1.53,6.29978E-10
-1.54,6.28765E-10
-1.55,6.27915E-10
-1.56,6.26716E-10
-1.57,6.25927E-10
-1.58,6.24788E-10
-1.59,6.24018E-10
-1.6,6.22859E-10
-1.61,6.21993E-10
-1.62,6.21151E-10
-1.63,6.20276E-10
-1.64,6.19346E-10
-1.65,6.1863E-10
-1.66,6.17693E-10
-1.67,6.17172E-10
-1.68,6.16183E-10
-1.69,6.15531E-10
-1.7,6.14696E-10
-1.71,6.1409E-10
-1.72,6.1345E-10
-1.73,6.12825E-10
-1.74,6.1217E-10
-1.75,6.11539E-10
-1.76,6.10965E-10
-1.77,6.10362E-10
-1.78,6.09819E-10
-1.79,6.09198E-10
-1.8,6.08654E-10
-1.81,6.07992E-10
-1.82,6.07476E-10
-1.83,6.07E-10
-1.84,6.06531E-10
-1.85,6.06094E-10
-1.86,6.05768E-10
-1.87,6.05123E-10
-1.88,6.04971E-10
-1.89,6.04363E-10
-1.9,6.0407E-10
-1.91,6.03562E-10
-1.92,6.03389E-10
-1.93,6.02727E-10
-1.94,6.02642E-10
-1.95,6.02104E-10
-1.96,6.02031E-10
-1.97,6.01582E-10
-1.98,6.01478E-10
-1.99,6.00937E-10
-2,6.00852E-10
-2.01,6.00482E-10
-2.02,6.00538E-10
-2.03,6.00001E-10
-2.04,5.99971E-10
-2.05,5.99597E-10
-2.06,5.99466E-10
-2.07,5.99049E-10
-2.08,5.99036E-10
-2.09,5.98595E-10
-2.1,5.98656E-10
-2.11,5.98351E-10
-2.12,5.9824E-10
-2.13,5.97812E-10
-2.14,5.97739E-10
-2.15,5.97511E-10
-2.16,5.97459E-10
-2.17,5.97191E-10
-2.18,5.97082E-10
-2.19,5.96814E-10
-2.2,5.96777E-10
-2.21,5.96581E-10
-2.22,5.96484E-10
-2.23,5.96508E-10
-2.24,5.96124E-10
-2.25,5.96008E-10
-2.26,5.9582E-10
-2.27,5.95801E-10
-2.28,5.95538E-10
-2.29,5.95631E-10
-2.3,5.95414E-10
-2.31,5.95304E-10
-2.32,5.95054E-10
-2.33,5.9521E-10
-2.34,5.94884E-10
-2.35,5.94912E-10
-2.36,5.94605E-10
-2.37,5.94813E-10
-2.38,5.94318E-10
-2.39,5.94573E-10
-2.4,5.94037E-10
-2.41,5.94143E-10
-2.42,5.93825E-10
-2.43,5.93973E-10
-2.44,5.93582E-10
-2.45,5.93683E-10
-2.46,5.93207E-10
-2.47,5.93469E-10
-2.48,5.93036E-10
-2.49,5.9323E-10
-2.5,5.92685E-10
-2.51,5.92844E-10
-2.52,5.92338E-10
-2.53,5.92446E-10
-2.54,5.92014E-10
-2.55,5.91954E-10
-2.56,5.91825E-10
-2.57,5.91665E-10
-2.58,5.91217E-10
-2.59,5.91184E-10
-2.6,5.91018E-10
-2.61,5.90669E-10
-2.62,5.90528E-10
-2.63,5.90339E-10
-2.64,5.90096E-10
-2.65,5.897E-10
-2.66,5.89387E-10
-2.67,5.88863E-10
-2.68,5.89022E-10
-2.69,5.88196E-10
-2.7,5.88225E-10
-2.71,5.87434E-10
-2.72,5.87287E-10
-2.73,5.86577E-10
-2.74,5.86516E-10
-2.75,5.85546E-10
-2.76,5.85623E-10
-2.77,5.8456E-10
-2.78,5.84563E-10
-2.79,5.83368E-10
-2.8,5.83425E-10
-2.81,5.82283E-10
-2.82,5.82282E-10
-2.83,5.81183E-10
-2.84,5.81213E-10
-2.85,5.80176E-10
-2.86,5.79943E-10
-2.87,5.78824E-10
-2.88,5.78552E-10
-2.89,5.77571E-10
-2.9,5.77111E-10
-2.91,5.763E-10
-2.92,5.76014E-10
-2.93,5.75133E-10
-2.94,5.745E-10
-2.95,5.73372E-10
-2.96,5.72802E-10
-2.97,5.72034E-10
-2.98,5.7145E-10
-2.99,5.70506E-10
-3,5.69701E-10
-3.01,5.69148E-10
-3.02,5.68223E-10
-3.03,5.67628E-10
-3.04,5.66738E-10
-3.05,5.66073E-10
-3.06,5.64987E-10
-3.07,5.64568E-10
-3.08,5.63308E-10
-3.09,5.63123E-10
-3.1,5.61757E-10
-3.11,5.6153E-10
-3.12,5.59971E-10
-3.13,5.59987E-10
-3.14,5.58394E-10
-3.15,5.58333E-10
-3.16,5.56993E-10
-3.17,5.56792E-10
-3.18,5.55219E-10
-3.19,5.55338E-10
-3.2,5.53806E-10
-3.21,5.53763E-10
-3.22,5.5217E-10
-3.23,5.521E-10
-3.24,5.50704E-10
-3.25,5.50499E-10
-3.26,5.49075E-10
-3.27,5.48856E-10
-3.28,5.47663E-10
-3.29,5.47468E-10
-3.3,5.46426E-10
-3.31,5.46087E-10
-3.32,5.45033E-10
-3.33,5.44441E-10
-3.34,5.43403E-10
-3.35,5.43187E-10
-3.36,5.42333E-10
-3.37,5.41654E-10
-3.38,5.41019E-10
-3.39,5.40251E-10
-3.4,5.39743E-10
-3.41,5.38812E-10
-3.42,5.38261E-10
-3.43,5.37472E-10
-3.44,5.3729E-10
-3.45,5.36185E-10
-3.46,5.35832E-10
-3.47,5.34704E-10
-3.48,5.34582E-10
-3.49,5.33239E-10
-3.5,5.33137E-10
-3.51,5.32009E-10
-3.52,5.31886E-10
-3.53,5.30663E-10
-3.54,5.30735E-10
-3.55,5.29301E-10
-3.56,5.29328E-10
-3.57,5.27982E-10
-3.58,5.28062E-10
-3.59,5.26757E-10
-3.6,5.2668E-10
-3.61,5.25559E-10
-3.62,5.25726E-10
-3.63,5.24546E-10
-3.64,5.24355E-10
-3.65,5.23356E-10
-3.66,5.23053E-10
-3.67,5.21852E-10
-3.68,5.2185E-10
-3.69,5.2101E-10
-3.7,5.20624E-10
-3.71,5.19942E-10
-3.72,5.19577E-10
-3.73,5.18785E-10
-3.74,5.18652E-10
-3.75,5.17798E-10
-3.76,5.17451E-10
-3.77,5.16626E-10
-3.78,5.16125E-10
-3.79,5.15662E-10
-3.8,5.1477E-10
-3.81,5.14649E-10
-3.82,5.1387E-10
-3.83,5.13549E-10
-3.84,5.12915E-10
-3.85,5.12549E-10
-3.86,5.11817E-10
-3.87,5.11565E-10
-3.88,5.10615E-10
-3.89,5.10415E-10
-3.9,5.0949E-10
-3.91,5.09407E-10
-3.92,5.08584E-10
-3.93,5.08319E-10
-3.94,5.07732E-10
-3.95,5.07497E-10
-3.96,5.06622E-10
-3.97,5.06296E-10
-3.98,5.05698E-10
-3.99,5.05687E-10
-4,5.04915E-10
-4.01,5.04723E-10
-4.02,5.03972E-10
-4.03,5.03577E-10
-4.04,5.03132E-10
-4.05,5.02699E-10
-4.06,5.02118E-10
-4.07,5.01914E-10
-4.08,5.01395E-10
-4.09,5.00947E-10
-4.1,5.00447E-10
-4.11,5.0005E-10
-4.12,4.99495E-10
-4.13,4.99027E-10
-4.14,4.98684E-10
-4.15,4.98321E-10
-4.16,4.98028E-10
-4.17,4.97676E-10
-4.18,4.97307E-10
-4.19,4.9692E-10
-4.2,4.96365E-10
-4.21,4.9582E-10
-4.22,4.95411E-10
-4.23,4.95197E-10
-4.24,4.94607E-10
-4.25,4.94162E-10
-4.26,4.94049E-10
-4.27,4.93656E-10
-4.28,4.93229E-10
-4.29,4.92881E-10
-4.3,4.9261E-10
-4.31,4.92291E-10
-4.32,4.92021E-10
-4.33,4.91616E-10
-4.34,4.91277E-10
-4.35,4.90884E-10
-4.36,4.90401E-10
-4.37,4.90049E-10
-4.38,4.89645E-10
-4.39,4.89134E-10
-4.4,4.88977E-10
-4.41,4.88701E-10
-4.42,4.88432E-10
-4.43,4.87926E-10
-4.44,4.87616E-10
-4.45,4.87351E-10
-4.46,4.8668E-10
-4.47,4.86658E-10
-4.48,4.86107E-10
-4.49,4.85919E-10
-4.5,4.85373E-10
-4.51,4.85367E-10
-4.52,4.84805E-10
-4.53,4.84618E-10
-4.54,4.84136E-10
-4.55,4.83929E-10
-4.56,4.83687E-10
-4.57,4.8315E-10
-4.58,4.82806E-10
-4.59,4.82389E-10
-4.6,4.82038E-10
-4.61,4.81825E-10
-4.62,4.81535E-10
-4.63,4.81146E-10
-4.64,4.80913E-10
-4.65,4.80382E-10
-4.66,4.80094E-10
-4.67,4.79457E-10
-4.68,4.79398E-10
-4.69,4.79001E-10
-4.7,4.78593E-10
-4.71,4.78123E-10
-4.72,4.78034E-10
-4.73,4.77324E-10
-4.74,4.7709E-10
-4.75,4.76474E-10
-4.76,4.76542E-10
-4.77,4.75837E-10
-4.78,4.76014E-10
-4.79,4.75247E-10
-4.8,4.75524E-10
-4.81,4.74766E-10
-4.82,4.74431E-10
-4.83,4.73902E-10
-4.84,4.73774E-10
-4.85,4.72877E-10
-4.86,4.72424E-10
-4.87,4.72223E-10
-4.88,4.72174E-10
-4.89,4.71925E-10
-4.9,4.71653E-10
-4.91,4.70863E-10
-4.92,4.70406E-10
-4.93,4.69922E-10
-4.94,4.69348E-10
-4.95,4.68853E-10
-4.96,4.68549E-10
-4.97,4.68193E-10
-4.98,4.68162E-10
-4.99,4.6774E-10
-5,4.67082E-10
-5.01,4.66724E-10
-5.02,4.66372E-10
-5.03,4.66115E-10
-5.04,4.65835E-10
-5.05,4.65637E-10
-5.06,4.6384E-10
-5.07,4.64036E-10
-5.08,4.63695E-10
-5.09,4.63107E-10
-5.1,4.61711E-10
-5.11,4.61937E-10
-5.12,4.61161E-10
-5.13,4.62216E-10
-5.14,4.61108E-10
-5.15,4.60886E-10
-5.16,4.58608E-10
-5.17,4.58258E-10
-5.18,4.5844E-10
-5.19,4.57228E-10
-5.2,4.56093E-10
-5.21,4.57105E-10
-5.22,4.57123E-10
-5.23,4.56137E-10
-5.24,4.55944E-10
-5.25,4.55319E-10
-5.26,4.52447E-10
-5.27,4.50617E-10
-5.28,4.52599E-10
-5.29,4.52267E-10
-5.3,4.49809E-10
-5.31,4.49531E-10
-5.32,4.47584E-10
-5.33,4.50991E-10
-5.34,4.46881E-10
-5.35,4.45104E-10
-5.36,4.4436E-10
-5.37,4.44398E-10
-5.38,4.41849E-10
-5.39,4.44608E-10
-5.4,4.43946E-10
-5.41,4.41305E-10
-5.42,4.43863E-10
-5.43,4.43175E-10
-5.44,4.40824E-10
-5.45,4.35657E-10
-5.46,4.3527E-10
-5.47,4.34582E-10
-5.48,4.39101E-10
-5.49,4.37628E-10
-5.5,4.35795E-10
-5.51,4.43125E-10
-5.52,4.39091E-10
-5.53,4.2802E-10
-5.54,4.35163E-10
-5.55,4.32371E-10
-5.56,4.31414E-10
-5.57,4.32627E-10
-5.58,4.30211E-10
-5.59,4.30472E-10
-5.6,4.26541E-10
-5.61,4.2877E-10
-5.62,4.28756E-10
-5.63,4.28254E-10
-5.64,4.26592E-10
-5.65,4.23486E-10
-5.66,4.23032E-10
-5.67,4.2903E-10
-5.68,4.30336E-10
-5.69,4.25095E-10
-5.7,4.30373E-10
-5.71,4.2982E-10
-5.72,4.30373E-10
-5.73,4.30525E-10
-5.74,4.27316E-10
-5.75,4.26961E-10
-5.76,4.31343E-10
-5.77,4.29676E-10
-5.78,4.29441E-10
-5.79,4.29017E-10
-5.8,4.25257E-10
-5.81,4.29213E-10
-5.82,4.28414E-10
-5.83,4.29119E-10
-5.84,4.28186E-10
-5.85,4.27766E-10
-5.86,4.2768E-10
-5.87,4.284E-10
-5.88,4.28305E-10
-5.89,4.28565E-10
-5.9,4.27757E-10
-5.91,4.27809E-10
-5.92,4.27223E-10
-5.93,4.27221E-10
-5.94,4.27246E-10
-5.95,4.26813E-10
-5.96,4.26434E-10
-5.97,4.26926E-10
-5.98,4.25535E-10
-5.99,4.2606E-10
-6,4.25972E-10
